segment_id,length_m,open_road_m,tunnel_m,bridge_m,sum_attributed_m,reconciliation_diff_m,dominant_structure,scientific_exposure_classification,tunnel_interior_surface_risk_decoupled,reconciliation_status
NH44_SEG_149,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_150,500.0,500.0,0.0,0.0,500.0,0.0,Open Road,Open Surface Road,True,PASS
NH44_SEG_151,500.0,0.0,500.0,0.0,500.0,0.0,Tunnel,Tunnel Interior,True,PASS
NH44_SEG_152,500.0,0.0,500.0,0.0,500.0,0.0,Tunnel,Tunnel Interior,True,PASS
NH44_SEG_153,500.0,0.0,500.0,0.0,500.0,0.0,Tunnel,Tunnel Interior,True,PASS
NH44_SEG_154,500.0,0.0,500.0,0.0,500.0,0.0,Tunnel,Tunnel Interior,True,PASS
NH44_SEG_155,500.0,0.0,500.0,0.0,500.0,0.0,Tunnel,Tunnel Interior,True,PASS
NH44_SEG_156,500.0,0.0,500.0,0.0,500.0,0.0,Tunnel,Tunnel Interior,True,PASS
NH44_SEG_157,500.0,0.0,500.0,0.0,500.0,0.0,Tunnel,Tunnel Interior,True,PASS
NH44_SEG_158,119.37,119.37,0.0,0.0,119.37,0.0,Open Road,Open Surface Road,True,PASS
