segment_id,sequence_number,start_chainage_m,end_chainage_m,nominal_length_m,actual_geometry_length_m,start_longitude,start_latitude,end_longitude,end_latitude,midpoint_longitude,midpoint_latitude,vertex_count,source_route_sha256,terminal_segment
NH44_SEG_099,99,49000.0,49500.0,500.0,500.0,75.176871,33.27597,75.18006,33.278136,75.179337,33.276421,21,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_100,100,49500.0,50000.0,500.0,500.0,75.18006,33.278136,75.178934,33.28125,75.180496,33.279944,24,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_101,101,50000.0,50500.0,500.0,500.0,75.178934,33.28125,75.17868,33.284322,75.178823,33.283142,24,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_102,102,50500.0,51000.0,500.0,500.0,75.17868,33.284322,75.176837,33.286432,75.176238,33.284546,22,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_103,103,51000.0,51500.0,500.0,500.0,75.176837,33.286432,75.177512,33.290517,75.177939,33.288416,20,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_104,104,51500.0,52000.0,500.0,500.0,75.177512,33.290517,75.176178,33.294431,75.176845,33.292312,19,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_105,105,52000.0,52500.0,500.0,500.0,75.176178,33.294431,75.17797,33.295736,75.175883,33.296416,21,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_106,106,52500.0,53000.0,500.0,500.0,75.17797,33.295736,75.182967,33.295634,75.180405,33.296039,19,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_107,107,53000.0,53500.0,500.0,500.0,75.182967,33.295634,75.18075,33.298724,75.181795,33.29682,21,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_108,108,53500.0,54000.0,500.0,500.0,75.18075,33.298724,75.182426,33.302938,75.181484,33.300866,17,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_109,109,54000.0,54500.0,500.0,500.0,75.182426,33.302938,75.181032,33.306986,75.182362,33.305088,21,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_110,110,54500.0,55000.0,500.0,500.0,75.181032,33.306986,75.184285,33.30981,75.181956,33.308773,24,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_111,111,55000.0,55500.0,500.0,500.0,75.184285,33.30981,75.186466,33.313311,75.185996,33.31141,24,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_112,112,55500.0,56000.0,500.0,500.0,75.186466,33.313311,75.190878,33.312438,75.188585,33.312718,22,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_113,113,56000.0,56500.0,500.0,500.0,75.190878,33.312438,75.193498,33.316194,75.192016,33.314337,19,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_114,114,56500.0,57000.0,500.0,500.0,75.193498,33.316194,75.196567,33.319893,75.195018,33.318051,5,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_115,115,57000.0,57500.0,500.0,500.0,75.196567,33.319893,75.199032,33.323756,75.198164,33.321701,25,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_116,116,57500.0,58000.0,500.0,500.0,75.199032,33.323756,75.199662,33.328146,75.199074,33.32597,22,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_117,117,58000.0,58500.0,500.0,500.0,75.199662,33.328146,75.199946,33.332307,75.200053,33.330305,14,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_118,118,58500.0,59000.0,500.0,500.0,75.199946,33.332307,75.195987,33.335129,75.197965,33.333695,17,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_119,119,59000.0,59500.0,500.0,500.0,75.195987,33.335129,75.191453,33.33649,75.193649,33.335971,18,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_120,120,59500.0,60000.0,500.0,500.0,75.191453,33.33649,75.190213,33.33985,75.192114,33.338493,17,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_121,121,60000.0,60500.0,500.0,500.0,75.190213,33.33985,75.186439,33.342869,75.188125,33.341146,13,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_122,122,60500.0,61000.0,500.0,500.0,75.186439,33.342869,75.182658,33.345767,75.184712,33.344575,20,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_123,123,61000.0,61500.0,500.0,500.0,75.182658,33.345767,75.178976,33.3486,75.180627,33.347137,20,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_124,124,61500.0,62000.0,500.0,500.0,75.178976,33.3486,75.177753,33.351454,75.179889,33.350623,21,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_125,125,62000.0,62500.0,500.0,500.0,75.177753,33.351454,75.173026,33.353083,75.175277,33.352093,20,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_126,126,62500.0,63000.0,500.0,500.0,75.173026,33.353083,75.171409,33.356938,75.171487,33.354821,24,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_127,127,63000.0,63500.0,500.0,500.0,75.171409,33.356938,75.173599,33.360395,75.171727,33.359024,25,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_128,128,63500.0,64000.0,500.0,500.0,75.173599,33.360395,75.177797,33.362549,75.175556,33.361802,20,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_129,129,64000.0,64500.0,500.0,500.0,75.177797,33.362549,75.181072,33.36578,75.179159,33.364341,18,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_130,130,64500.0,65000.0,500.0,500.0,75.181072,33.36578,75.185863,33.3658,75.183427,33.365573,18,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_131,131,65000.0,65500.0,500.0,500.0,75.185863,33.3658,75.189521,33.368918,75.187907,33.367217,20,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
